date,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2011-03-01,433949.1,233664.9,478456.7,884588.55,728811.95,1118253.45,1340791.45,344933.9,0.0,0.0,0.0,0.0,0.0
2011-03-02,234017.7,429032.45,462463.55,902639.7,735484.2,1114370.0,1337244.0,351026.55,0.0,0.0,0.0,0.0,0.0
2011-03-03,66973.8,574858.45,474397.75,920889.75,736711.8,1110648.85,1345057.15,357193.6,0.0,0.0,0.0,0.0,0.0
2011-03-04,117436.2,525666.8,447376.0,945081.8,743762.6,1107255.6,1342128.0,363493.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,50454.45,599847.35,448484.0,958634.55,739998.6,1104391.85,1339845.95,369999.3,0.0,0.0,0.0,0.0,0.0
2011-03-06,89916.0,539496.0,472059.0,966597.0,736187.25,1101471.0,1337500.5,376523.25,0.0,0.0,0.0,0.0,0.0
2011-03-07,106975.7,489836.1,489836.1,979672.2,743199.6,1097908.5,1340011.4,382860.4,0.0,0.0,0.0,0.0,0.0
2011-03-08,56396.5,349658.3,676758.0,986938.75,738794.15,1099731.75,1342236.7,389135.85,0.0,0.0,0.0,0.0,0.0
2011-03-09,33885.9,208963.05,830204.55,999634.05,734194.5,1106939.4,1338493.05,395335.5,0.0,0.0,0.0,0.0,0.0
2011-03-10,50878.35,186553.95,836666.2,1000607.55,740562.65,1102364.25,1339796.55,401373.65,0.0,0.0,0.0,0.0,0.0
2011-03-11,45277.2,186768.45,826308.9,1013077.35,752733.45,1103631.75,1341337.05,401835.15,0.0,0.0,0.0,0.0,0.0
2011-03-12,45333.2,192666.1,815997.6,1031330.3,736664.5,1099330.1,1337329.4,407998.8,0.0,0.0,0.0,0.0,0.0
2011-03-13,73742.5,153157.5,822512.5,1015377.5,754442.5,1106137.5,1333037.5,414092.5,0.0,0.0,0.0,0.0,0.0
2011-03-14,124918.2,158986.8,789255.9,1010701.8,738153.0,1107229.5,1334353.5,414501.3,0.0,0.0,0.0,0.0,0.0
2011-03-15,51153.3,238715.4,790034.3,1006014.9,733197.3,1108321.5,1329985.8,420593.8,0.0,0.0,0.0,0.0,0.0
2011-03-16,51214.5,261763.0,779598.5,1024290.0,722693.5,1109647.5,1320196.0,426787.5,0.0,0.0,0.0,0.0,0.0
2011-03-17,51277.95,273482.4,763471.7,1031256.55,706496.2,1116719.8,1316134.05,433013.8,0.0,0.0,0.0,0.0,0.0
2011-03-18,34221.3,296584.6,758572.15,1020935.45,712943.75,1123599.35,1311816.5,439173.35,0.0,0.0,0.0,0.0,0.0
2011-03-19,28546.5,291174.3,770755.5,987708.9,747918.3,1124732.1,1313139.0,445325.4,0.0,0.0,0.0,0.0,0.0
2011-03-20,28580.75,245794.45,811693.3,988893.95,754531.8,1120365.4,1314714.5,451575.85,0.0,0.0,0.0,0.0,0.0
2011-03-21,40064.85,148812.3,892873.8,990174.15,755508.6,1121815.8,1310692.95,457884.0,0.0,0.0,0.0,0.0,0.0
2011-03-22,57295.0,120319.5,888072.5,1014121.5,756294.0,1128711.5,1312055.5,464089.5,0.0,0.0,0.0,0.0,0.0
2011-03-23,51636.15,126221.7,895026.6,1015510.95,745855.5,1124520.6,1308115.8,464725.35,0.0,0.0,0.0,0.0,0.0
2011-03-24,80429.3,103409.1,901957.15,1022601.1,741098.55,1120265.25,1309848.6,471085.9,0.0,0.0,0.0,0.0,0.0
