date,nvtRatio
2014-04-20,1.836195
2014-04-21,1.047513
2014-04-22,0.855864
2014-04-23,1.137226
2014-04-24,1.788765
2014-04-25,1.378195
2014-04-26,2.274764
2014-04-27,2.389479
2014-04-28,1.310597
2014-04-29,1.349648
2014-04-30,1.557677
2014-05-01,1.697102
2014-05-02,1.146657
2014-05-03,1.347002
2014-05-04,1.754334
2014-05-05,1.183969
2014-05-06,1.092592
2014-05-07,0.889496
2014-05-08,0.546943
2014-05-09,0.60666
2014-05-10,1.112492
2014-05-11,1.652163
2014-05-12,1.358612
2014-05-13,1.106457
2014-05-14,1.029379
2014-05-15,0.90452
2014-05-16,1.149749
2014-05-17,1.541983
2014-05-18,2.742635
2014-05-19,1.409704
2014-05-20,0.519273
2014-05-21,1.031389
2014-05-22,0.995753
2014-05-23,0.58852
2014-05-24,0.825208
2014-05-25,0.902888
2014-05-26,0.9889
2014-05-27,0.787088
2014-05-28,0.867446
2014-05-29,1.132247
2014-05-30,0.841043
2014-05-31,1.283995
2014-06-01,0.977245
2014-06-02,0.826536
2014-06-03,0.839406
2014-06-04,0.726341
2014-06-05,0.800171
2014-06-06,0.707753
2014-06-07,1.253418
2014-06-08,0.98007
2014-06-09,1.943349
2014-06-10,1.266787
2014-06-11,1.387545
2014-06-12,0.648985
2014-06-13,1.005373
2014-06-14,1.627874
2014-06-15,1.787573
2014-06-16,1.009371
2014-06-17,1.598233
2014-06-18,1.371349
2014-06-19,1.027786
2014-06-20,1.342772
2014-06-21,1.643565
2014-06-22,1.429639
2014-06-23,1.215461
2014-06-24,0.842783
2014-06-25,1.496686
2014-06-26,1.496611
2014-06-27,1.602359
2014-06-28,2.226394
2014-06-29,2.155163
2014-06-30,1.122173
2014-07-01,0.82485
2014-07-02,0.802641
2014-07-03,1.235684
2014-07-04,1.908276
2014-07-05,1.773983
2014-07-06,2.00285
2014-07-07,1.565159
2014-07-08,2.025878
2014-07-09,1.586544
2014-07-10,1.422995
2014-07-11,1.775648
2014-07-12,1.575203
2014-07-13,1.518706
2014-07-14,1.433362
2014-07-15,1.293932
2014-07-16,1.211107
2014-07-17,1.569499
2014-07-18,1.437277
2014-07-19,2.379516
2014-07-20,2.567083
2014-07-21,1.616128
2014-07-22,1.868718
2014-07-23,1.735616
2014-07-24,1.325401
2014-07-25,1.446672
2014-07-26,2.318551
2014-07-27,2.732957
2014-07-28,1.454525
2014-07-29,1.434896
2014-07-30,1.659834
2014-07-31,1.666224
2014-08-01,1.521629
2014-08-02,1.805226
2014-08-03,1.674827
2014-08-04,1.63463
2014-08-05,1.130274
2014-08-06,1.506783
2014-08-07,1.622053
2014-08-08,2.057372
2014-08-09,1.934293
2014-08-10,1.918366
2014-08-11,1.219338
2014-08-12,0.939267
2014-08-13,0.967838
2014-08-14,0.92007
2014-08-15,0.88103
2014-08-16,1.067166
2014-08-17,1.359202
2014-08-18,0.664694
2014-08-19,1.117698
2014-08-20,1.267866
2014-08-21,0.884769
2014-08-22,0.216565
2014-08-23,0.968976
2014-08-24,1.675657
2014-08-25,0.719936
2014-08-26,0.390554
2014-08-27,0.47131
2014-08-28,0.932335
2014-08-29,1.16463
2014-08-30,1.146285
2014-08-31,1.311679
2014-09-01,0.956192
2014-09-02,1.190655
2014-09-03,1.361191
2014-09-04,1.539027
2014-09-05,1.370616
2014-09-06,2.1645
2014-09-07,1.814626
2014-09-08,1.351703
2014-09-09,1.307323
2014-09-10,1.428899
2014-09-11,1.510999
2014-09-12,1.464933
2014-09-13,2.061352
2014-09-14,1.81187
2014-09-15,1.443702
2014-09-16,1.533008
2014-09-17,1.404163
2014-09-18,0.918577
2014-09-19,0.91653
2014-09-20,0.884751
2014-09-21,0.828751
2014-09-22,1.252982
2014-09-23,0.915093
2014-09-24,0.723471
2014-09-25,0.97828
2014-09-26,1.184295
2014-09-27,1.278362
2014-09-28,1.385739
2014-09-29,0.938291
2014-09-30,1.021816
2014-10-01,0.951401
2014-10-02,1.09595
2014-10-03,0.896895
2014-10-04,0.96937
2014-10-05,0.735044
2014-10-06,0.589087
2014-10-07,0.792252
2014-10-08,0.768921
2014-10-09,0.685044
2014-10-10,0.674778
2014-10-11,1.151041
2014-10-12,1.47653
2014-10-13,0.88674
2014-10-14,0.74273
2014-10-15,0.554867
2014-10-16,0.624419
2014-10-17,0.73681
2014-10-18,1.133329
2014-10-19,1.467717
2014-10-20,0.800582
2014-10-21,1.147266
2014-10-22,0.760657
2014-10-23,0.595907
2014-10-24,0.937196
2014-10-25,0.719798
2014-10-26,0.768321
2014-10-27,0.614411
2014-10-28,0.792138
2014-10-29,0.809439
2014-10-30,0.957215
2014-10-31,0.508984
2014-11-01,0.948239
2014-11-02,1.213105
2014-11-03,0.613401
2014-11-04,0.593686
2014-11-05,0.700162
2014-11-06,0.904626
2014-11-07,0.767284
2014-11-08,1.184751
2014-11-09,1.287916
2014-11-10,0.711744
2014-11-11,0.956823
2014-11-12,0.650789
2014-11-13,0.395292
2014-11-14,0.703686
2014-11-15,0.795311
2014-11-16,0.928392
2014-11-17,0.770631
2014-11-18,0.663775
2014-11-19,0.700986
2014-11-20,0.624364
2014-11-21,0.499598
2014-11-22,0.828126
2014-11-23,1.133174
2014-11-24,0.826876
2014-11-25,0.664721
2014-11-26,0.621726
2014-11-27,0.657212
2014-11-28,0.494649
2014-11-29,0.665525
2014-11-30,0.670171
2014-12-01,0.501121
2014-12-02,0.479818
2014-12-03,0.530881
2014-12-04,0.608733
2014-12-05,0.572749
2014-12-06,1.065152
2014-12-07,0.796552
2014-12-08,0.388569
2014-12-09,0.566658
2014-12-10,0.488227
2014-12-11,0.79274
2014-12-12,0.675524
2014-12-13,0.929252
2014-12-14,1.073242
2014-12-15,0.740113
2014-12-16,0.640498
2014-12-17,0.571561
2014-12-18,0.569664
2014-12-19,0.752107
2014-12-20,0.930209
2014-12-21,0.680854
2014-12-22,0.654967
2014-12-23,0.543051
2014-12-24,0.769133
