date,exchangeInflowBtc
2015-11-26,65032.65358352
2015-11-27,139675.20724713
2015-11-28,37584.83023754
2015-11-29,36346.22858641
2015-11-30,58616.01760173
2015-12-01,155943.35873903
2015-12-02,73184.70127159
2015-12-03,58035.1301812
2015-12-04,49763.3631307
2015-12-05,77128.71673185
2015-12-06,59473.65606741
2015-12-07,59979.19346337
2015-12-08,47239.0668626
2015-12-09,57560.49068873
2015-12-10,42327.32945289
2015-12-11,58686.58531364
2015-12-12,53654.66512198
2015-12-13,44014.39216615
2015-12-14,39911.28150729
2015-12-15,61695.04043277
2015-12-16,49655.86922905
2015-12-17,51752.24232819
2015-12-18,49262.53190563
2015-12-19,68769.63401832
2015-12-20,34754.29966761
2015-12-21,54726.13078158
2015-12-22,44702.93729665
2015-12-23,46364.39365042
2015-12-24,46032.17045555
2015-12-25,41863.74853268
2015-12-26,52876.22754379
2015-12-27,25419.84474662
2015-12-28,30498.62294069
2015-12-29,27628.66867513
2015-12-30,21597.55392702
2015-12-31,42798.90135553
2016-01-01,25671.11830726
2016-01-02,12823.22818135
2016-01-03,15033.14364083
2016-01-04,23916.71158107
2016-01-05,30780.82941983
2016-01-06,25934.9686725
2016-01-07,39625.50835146
2016-01-08,24172.91291781
2016-01-09,15854.2342104
2016-01-10,14454.39304549
2016-01-11,44385.23339091
2016-01-12,25021.06523921
2016-01-13,39479.4691043
2016-01-14,28993.51347624
2016-01-15,45650.45111047
2016-01-16,39225.31454368
2016-01-17,28270.96702486
2016-01-18,34192.63969485
2016-01-19,35520.85377133
2016-01-20,47554.97737946
2016-01-21,59579.22325383
2016-01-22,56005.28576962
2016-01-23,31789.8864432
2016-01-24,34938.16187793
2016-01-25,54415.19281006
2016-01-26,79755.78783223
2016-01-27,49448.28034316
2016-01-28,50790.93169784
2016-01-29,55703.44100162
2016-01-30,52683.26481409
2016-01-31,38538.03982952
2016-02-01,63314.82464994
2016-02-02,51362.83453657
2016-02-03,46789.44026101
2016-02-04,53830.61756665
2016-02-05,77894.64551983
2016-02-06,41835.11934936
2016-02-07,31137.80882242
2016-02-08,36367.06946464
2016-02-09,46080.9549983
2016-02-10,59587.28620679
2016-02-11,64919.7058564
2016-02-12,63561.3536564
2016-02-13,49002.42131154
2016-02-14,37706.00680046
2016-02-15,63113.88751226
2016-02-16,52668.0214661
2016-02-17,55089.51332535
2016-02-18,51254.44166005
2016-02-19,47158.33927309
2016-02-20,47421.7472232
2016-02-21,46057.78487948
2016-02-22,47397.70984342
2016-02-23,69267.04056044
