date,supplyLoss
2022-09-11,7789415.927256001
2022-09-12,7627038.602561001
2022-09-13,8717005.310784003
2022-09-14,8606292.973698
2022-09-15,9096985.4995
2022-09-16,9030332.28003
2022-09-17,8739701.402796
2022-09-18,9257308.673886
2022-09-19,9135108.165248
2022-09-20,9666186.185232
2022-09-21,9777741.563568
2022-09-22,9073142.211712
2022-09-23,9228726.965164002
2022-09-24,9688996.278494
2022-09-25,9791011.498870002
2022-09-26,9364190.679729002
2022-09-27,9404825.389536
2022-09-28,8876381.928144
2022-09-29,8798223.237747
2022-09-30,8929031.001378002
2022-10-01,9291800.264016
2022-10-02,9558700.553304
2022-10-03,8614188.369948
2022-10-04,8083658.880589001
2022-10-05,8327583.0636479985
2022-10-06,8504390.751612
2022-10-07,8909401.928274
2022-10-08,9172586.694128
2022-10-09,9128957.868387
2022-10-10,9528308.270523
2022-10-11,9549889.98816
2022-10-12,9329776.965705
2022-10-13,9011853.058808
2022-10-14,9311506.90166
2022-10-15,9568982.282988
2022-10-16,9220335.984244002
2022-10-17,8591617.092318
2022-10-18,9027466.113952002
2022-10-19,9505587.601485
2022-10-20,9657596.062128002
2022-10-21,9270535.516544
2022-10-22,9192281.336772
2022-10-23,8423325.52513
2022-10-24,8895732.815012
2022-10-25,8090142.338872001
2022-10-26,7618474.035240002
2022-10-27,8008385.383791
2022-10-28,7768900.720416
2022-10-29,7590769.078235
2022-10-30,7800313.957888002
2022-10-31,7948553.085097
2022-11-01,8002673.643173
2022-11-02,8319732.618978001
2022-11-03,8178115.689420002
2022-11-04,7331815.845348
2022-11-05,7307217.297402002
2022-11-06,7601304.1182280015
2022-11-07,7897355.226396002
2022-11-08,9887099.332083002
2022-11-09,10085368.815184
2022-11-10,9776669.684997
2022-11-11,9848153.324776
2022-11-12,9956240.540928002
2022-11-13,10087262.817684002
2022-11-14,9901355.89176
2022-11-15,9680960.353680002
2022-11-16,9792846.168266
2022-11-17,9593501.302198
2022-11-18,9543986.755056
2022-11-19,9336955.29462
2022-11-20,10211589.07273
2022-11-21,10213938.952572
2022-11-22,10087542.76425
2022-11-23,9811305.843252
2022-11-24,9767520.588761
2022-11-25,9942784.437508
2022-11-26,10025772.186339
2022-11-27,10045438.886321502
2022-11-28,10032434.625240002
2022-11-29,9748405.388624
2022-11-30,8651329.191967001
2022-12-01,8728647.043772
2022-12-02,8680945.203972
2022-12-03,8983123.287916001
2022-12-04,8631726.82808
2022-12-05,8720572.683312
2022-12-06,8672890.177887
2022-12-07,9109831.805146
2022-12-08,8471949.731352001
2022-12-09,8556976.6094
2022-12-10,8647786.501974
2022-12-11,8721277.60142
2022-12-12,8473590.931103999
2022-12-13,8262482.644680001
2022-12-14,8234029.173761999
2022-12-15,8586397.194335999
2022-12-16,9735123.59652
2022-12-17,9212329.037574
2022-12-18,9189678.211299
2022-12-19,9986545.378953
2022-12-20,9003883.25772
2022-12-21,9110121.296750002
2022-12-22,9052798.380805
2022-12-23,9155167.159086
2022-12-24,8991873.232747
2022-12-25,9036544.084752
2022-12-26,8894518.03127
2022-12-27,9368267.176276
2022-12-28,9819126.303504
2022-12-29,9559747.839991
2022-12-30,9677648.118504
2022-12-31,9920669.24631
2023-01-01,9538105.933589997
2023-01-02,9124703.25594
2023-01-03,9234892.387422
2023-01-04,8667378.693494
2023-01-05,8808369.27735
2023-01-06,8433423.31932
2023-01-07,8526269.194758
2023-01-08,8337982.156389998
2023-01-09,8157375.247043999
2023-01-10,8055753.582799999
2023-01-11,7828878.913679998
2023-01-12,7671329.072652001
2023-01-13,7057293.47576
2023-01-14,6398916.417013999
2023-01-15,6562992.542312998
2023-01-16,6249299.443763999
2023-01-17,6334382.398464
2023-01-18,6750816.298800001
2023-01-19,6487176.836049
2023-01-20,5903641.492416002
2023-01-21,5857673.41216
2023-01-22,5965857.522143999
2023-01-23,5833168.994209498
2023-01-24,6143709.354403999
2023-01-25,5781735.915000001
2023-01-26,5882248.324203998
2023-01-27,5793879.902544001
2023-01-28,5942616.363859998
2023-01-29,5441739.127743002
2023-01-30,6226568.82701
2023-01-31,5752561.642455999
2023-02-01,5496408.063631002
2023-02-02,5666328.5234779995
2023-02-03,5714774.360099999
2023-02-04,5892415.768176001
2023-02-05,6461537.330169002
2023-02-06,6575618.99456
2023-02-07,5922186.305172998
2023-02-08,6433506.054024
2023-02-09,6840780.570938
2023-02-10,6885466.58625
2023-02-11,6725706.843427001
2023-02-12,6882300.453456003
2023-02-13,6822849.528468002
2023-02-14,6624493.717306001
2023-02-15,5322639.290561
2023-02-16,5523595.488186998
2023-02-17,5298150.166619999
2023-02-18,5296508.938485002
2023-02-19,5439578.204119001
2023-02-20,5289320.229111001
2023-02-21,5440131.399041001
2023-02-22,5567751.206320001
2023-02-23,5654909.65728
2023-02-24,6145399.112624001
2023-02-25,6253762.433220001
2023-02-26,5858337.643199999
2023-02-27,5893346.565448498
2023-02-28,6353053.782039
2023-03-01,5754936.365508001
2023-03-02,5973365.686651997
2023-03-03,6950641.8456
2023-03-04,7020493.647695998
2023-03-05,6883750.141890001
2023-03-06,6884044.225870002
2023-03-07,7015727.385597
2023-03-08,7199492.808944
2023-03-09,7852579.556074001
2023-03-10,7939870.218515875
2023-03-11,7573274.952155251
2023-03-12,6872484.674678249
2023-03-13,5275340.414456502
2023-03-14,5132645.813038625
2023-03-15,5299031.490678251
2023-03-16,5108025.9364735
2023-03-17,4938254.197704
2023-03-18,5261177.9325560015
2023-03-19,4934884.953334002
2023-03-20,4981506.319538001
2023-03-21,4964348.306274001
2023-03-22,5244816.727194
2023-03-23,4914649.343928002
2023-03-24,5208680.254470002
2023-03-25,5187664.690897334
2023-03-26,5075800.729029333
2023-03-27,5445241.481007
2023-03-28,5389418.176948
2023-03-29,4898649.475664001
2023-03-30,4941426.799476
2023-03-31,4721249.725632001
2023-04-01,4845203.637176
2023-04-02,5054258.715094
2023-04-03,5336780.700959997
2023-04-04,4996725.8804640025
2023-04-05,4898339.010093002
2023-04-06,5146111.082556
2023-04-07,5480936.363214001
2023-04-08,5467658.142341999
2023-04-09,4852840.235139001
2023-04-10,4470077.623955999
2023-04-11,4398710.355953999
2023-04-12,4524658.444735665
2023-04-13,4343027.679811668
2023-04-14,4314215.023330001
2023-04-15,4556261.645955
2023-04-16,4581632.616128001
2023-04-17,4889501.955666998
2023-04-18,4481452.058435999
2023-04-19,5110570.896760998
2023-04-20,5321734.538999999
2023-04-21,5999315.520100001
2023-04-22,5881547.4796440005
2023-04-23,5926341.9934020005
2023-04-24,5893692.49182
2023-04-25,5206802.5234900005
2023-04-26,5170242.870141
2023-04-27,4845249.382963
2023-04-28,4915170.619144
2023-04-29,5019929.554353002
2023-04-30,4898198.45713
2023-05-01,5549036.196486
2023-05-02,5107804.275047999
2023-05-03,4986048.001575001
2023-05-04,5164411.1600445025
2023-05-05,4699873.233942
2023-05-06,5190043.746946668
2023-05-07,5345214.800959997
2023-05-08,6309965.940318
2023-05-09,6349010.512988001
2023-05-10,6244762.895903999
2023-05-11,6731268.109224999
2023-05-12,6741260.06208
2023-05-13,6716391.390907001
2023-05-14,6691582.967234002
2023-05-15,6393535.321799999
2023-05-16,6641854.797388002
2023-05-17,6274028.563273
2023-05-18,6797517.185567999
2023-05-19,6731960.437403999
2023-05-20,6455125.983251
2023-05-21,6897301.769064
2023-05-22,6767770.806431999
2023-05-23,6335893.898474
2023-05-24,6981623.581742002
2023-05-25,6914121.009882001
2023-05-26,6862123.871340001
2023-05-27,6736439.343599999
2023-05-28,5581355.2007840015
2023-05-29,5928682.044868
2023-05-30,5991019.295640003
2023-05-31,6381016.395411
2023-06-01,6850528.763592999
2023-06-02,6212922.281280002
2023-06-03,6521533.6187849995
2023-06-04,6438436.3924
2023-06-05,7134958.12328
2023-06-06,6357578.3822099995
2023-06-07,7127857.53225
2023-06-08,6930367.016787002
2023-06-09,7060707.996160001
2023-06-10,7210426.888098
2023-06-11,7170066.543024
2023-06-12,7131628.185467999
2023-06-13,7172708.922395999
2023-06-14,7277760.317442998
2023-06-15,7186912.655168001
2023-06-16,6900086.641252002
2023-06-17,6671419.461846001
2023-06-18,6832812.781011
2023-06-19,6406176.232741
2023-06-20,5088679.120302001
2023-06-21,4312553.289318999
2023-06-22,4440833.398143999
2023-06-23,4142097.868942
2023-06-24,4256817.087159
2023-06-25,4299732.943920001
2023-06-26,4428059.538578
2023-06-27,4137032.6993125007
2023-06-28,4577903.581445999
2023-06-29,4325720.344636001
2023-06-30,4271574.861399999
2023-07-01,4227098.450974001
2023-07-02,4225389.302912001
2023-07-03,4093526.384696001
2023-07-04,4192753.5752330017
2023-07-05,4445435.282043001
2023-07-06,4962252.17341
2023-07-07,4696438.930248
2023-07-08,4776346.073874
2023-07-09,4883443.267854001
2023-07-10,4598123.692887001
2023-07-11,4240870.298105001
2023-07-12,4695674.932895001
2023-07-13,4017803.3255800023
2023-07-14,4872871.411980001
2023-07-15,4925549.197725
2023-07-16,5019064.262729999
2023-07-17,5032886.212900002
2023-07-18,5320756.93328
2023-07-19,5237427.4516025
2023-07-20,5500028.7569699995
2023-07-21,5171768.079999002
2023-07-22,5615153.378998201
2023-07-23,5036181.9105826
2023-07-24,5767285.555897798
2023-07-25,5715064.701108001
