date,open,high,low,close,volume
2019-05-13,6968.24,8100.0,6870.0,7790.71,85804.74
2019-05-14,7795.62,8366.0,7599.56,7947.56,76583.72
2019-05-15,7945.26,8249.0,7850.0,8169.87,37884.33
2019-05-16,8169.08,8320.0,7705.0,7866.59,69630.51
2019-05-17,7868.67,7925.0,6913.0,7355.26,88752.01
2019-05-18,7355.28,7458.0,7156.61,7257.45,37054.94
2019-05-19,7257.32,8275.09,7243.08,8148.48,65577.44
2019-05-20,8147.94,8156.03,7553.0,7938.15,65859.21
2019-05-21,7937.16,8042.32,7771.0,7904.87,52301.75
2019-05-22,7904.48,8016.0,7465.0,7628.43,49136.99
2019-05-23,7627.8,7940.98,7461.0,7851.51,49648.18
2019-05-24,7849.95,8130.0,7766.0,7964.87,46664.79
2019-05-25,7964.52,8091.8,7908.34,8025.41,28414.33
2019-05-26,8023.0,8740.0,7833.42,8614.43,49652.14
2019-05-27,8612.54,8908.32,8589.0,8756.32,51886.77
2019-05-28,8752.52,8798.49,8510.63,8715.64,31470.55
2019-05-29,8716.87,8750.0,8406.6,8645.68,33880.87
2019-05-30,8646.5,9074.26,8005.0,8269.54,70380.0
2019-05-31,8267.1,8594.0,8108.5,8555.0,44727.49
2019-06-01,8555.0,8626.0,8442.36,8544.07,31868.23
2019-06-02,8545.1,8814.78,8524.0,8725.98,27835.13
2019-06-03,8726.0,8800.95,8080.8,8115.82,45692.97
2019-06-04,8115.66,8115.66,7481.02,7687.03,74143.95
2019-06-05,7687.04,7896.7,7572.78,7776.5,48679.66
2019-06-06,7778.08,7868.13,7444.58,7786.7,36624.12
2019-06-07,7787.57,8100.0,7737.49,7980.53,33942.23
2019-06-08,7978.94,8044.65,7751.0,7893.62,22657.33
2019-06-09,7895.28,7935.0,7506.66,7628.13,31568.47
2019-06-10,7627.57,8020.0,7511.0,7982.75,36756.08
2019-06-11,7981.0,8010.0,7692.23,7884.9,30335.0
2019-06-12,7884.9,8200.0,7788.99,8127.64,41597.08
2019-06-13,8127.64,8309.82,8010.03,8218.54,30467.76
2019-06-14,8216.44,8684.41,8144.32,8650.0,39835.25
2019-06-15,8650.88,8864.99,8567.63,8808.7,31791.64
2019-06-16,8810.77,9333.0,8760.0,8953.33,63289.25
2019-06-17,8953.0,9444.0,8950.0,9313.96,47895.49
2019-06-18,9312.13,9336.36,8950.0,9081.55,51554.57
2019-06-19,9081.97,9304.0,8960.0,9255.49,32147.71
2019-06-20,9253.76,9590.0,9175.2,9517.12,34556.05
2019-06-21,9518.06,10174.99,9518.06,10159.86,50484.42
2019-06-22,10159.86,11160.0,9921.72,10729.5,104169.45
2019-06-23,10729.0,11392.64,10555.18,10906.07,57445.32
2019-06-24,10905.95,11143.63,10620.8,11056.59,43101.05
2019-06-25,11056.59,11850.0,11026.0,11820.86,61276.69
2019-06-26,11821.28,13970.0,11741.0,13093.8,155930.15
2019-06-27,13098.38,13478.04,10525.1,11329.99,173894.82
2019-06-28,11329.99,12480.0,10982.88,12400.63,95795.2
2019-06-29,12407.06,12441.54,11475.02,11903.13,69642.07
2019-06-30,11903.13,12180.0,10766.03,10854.1,84512.53
2019-07-01,10854.1,11282.28,10030.0,10624.93,90962.27
2019-07-02,10624.9,10938.75,9727.0,10842.85,109561.04
2019-07-03,10844.98,11991.89,10841.04,11940.0,96815.9
2019-07-04,11940.0,12000.0,11055.0,11145.67,66512.22
2019-07-05,11145.67,11406.83,10796.44,10970.73,63534.35
2019-07-06,10982.41,11665.0,10964.51,11256.49,51469.5
2019-07-07,11256.45,11538.0,11094.37,11406.24,38884.8
2019-07-08,11410.0,12338.03,11220.0,12238.6,52182.37
2019-07-09,12238.6,12794.73,12068.0,12543.41,78442.13
2019-07-10,12548.51,13147.08,11569.0,12108.37,109246.04
2019-07-11,12108.11,12111.73,11000.0,11342.89,87506.46
2019-07-12,11342.88,11885.0,11073.0,11757.22,56321.86
2019-07-13,11757.22,11799.98,10830.0,11355.76,54245.59
2019-07-14,11355.78,11452.0,10103.0,10174.18,72517.58
2019-07-15,10174.18,11100.0,9860.0,10838.72,81922.43
2019-07-16,10833.78,11028.0,9350.01,9439.59,97219.44
2019-07-17,9430.17,9957.0,9060.0,9667.92,84942.67
2019-07-18,9668.86,10788.0,9252.0,10627.16,80283.31
2019-07-19,10628.64,10769.71,10121.84,10504.29,56546.93
2019-07-20,10505.78,11068.99,10350.0,10740.23,47331.9
2019-07-21,10740.27,10817.9,10288.0,10589.45,38834.29
2019-07-22,10590.15,10683.16,10100.0,10340.31,40467.95
2019-07-23,10343.08,10343.97,9822.0,9864.91,47624.37
2019-07-24,9864.78,9937.0,9525.0,9763.28,43475.38
2019-07-25,9763.4,10175.0,9720.03,9879.87,37873.35
2019-07-26,9882.15,9889.98,9637.0,9824.0,27167.46
2019-07-27,9824.0,10188.66,9333.0,9476.52,43809.78
2019-07-28,9478.92,9594.99,9165.0,9541.54,29401.02
2019-07-29,9541.54,9729.0,9395.0,9507.64,29021.94
2019-07-30,9509.07,9714.28,9402.0,9574.21,32536.37
2019-07-31,9575.0,10109.8,9555.0,10080.53,39515.35
2019-08-01,10080.53,10467.86,9863.46,10374.99,41727.64
2019-08-02,10375.0,10670.0,10281.35,10523.75,42990.44
2019-08-03,10523.75,10904.77,10497.93,10816.86,33802.32
2019-08-04,10816.86,11040.0,10552.0,10929.23,39924.75
2019-08-05,10929.99,11937.52,10927.8,11828.8,65153.67
2019-08-06,11830.0,12330.7,11226.7,11481.69,76705.39
2019-08-07,11481.69,12141.17,11382.84,11975.03,69173.39
2019-08-08,11975.04,12060.0,11521.0,11999.77,51207.26
2019-08-09,11994.17,12045.68,11700.0,11879.99,39427.15
2019-08-10,11879.98,11985.0,11270.0,11309.31,42633.09
2019-08-11,11309.24,11600.0,11112.11,11549.97,26772.91
2019-08-12,11539.08,11577.89,11235.32,11396.08,17568.23
2019-08-13,11398.35,11456.16,10788.45,10892.71,33234.73
2019-08-14,10893.36,10897.48,9928.1,10050.37,54451.85
2019-08-15,10055.16,10460.0,9911.0,10293.93,38174.45
2019-08-16,10296.77,10536.03,9750.0,10331.54,51758.14
2019-08-17,10331.15,10465.14,10000.0,10216.02,29000.58
2019-08-18,10216.05,10500.0,10080.0,10306.78,24085.4
2019-08-19,10306.17,10930.0,10258.6,10915.54,37243.32
2019-08-20,10914.73,10949.96,10560.0,10760.51,32298.92
2019-08-21,10760.51,10804.13,9858.0,10142.57,47355.72
2019-08-22,10140.82,10242.0,9762.0,10099.88,34059.64
2019-08-23,10099.9,10445.0,10019.79,10389.55,27550.34
2019-08-24,10388.16,10419.42,9890.0,10134.35,27692.46
2019-08-25,10134.61,10333.0,9906.97,10142.69,26271.66
2019-08-26,10142.69,10604.0,10137.93,10372.25,41687.51
2019-08-27,10373.6,10391.08,10051.08,10185.05,28402.78
2019-08-28,10185.69,10299.0,9601.01,9721.0,42110.56
2019-08-29,9721.0,9724.0,9320.0,9498.44,35532.69
2019-08-30,9499.01,9696.0,9350.41,9584.54,26834.32
2019-08-31,9582.76,9684.51,9420.75,9587.47,17130.29
2019-09-01,9588.74,9830.0,9520.0,9724.98,19545.4
2019-09-02,9723.59,10450.0,9712.5,10340.0,44740.25
2019-09-03,10340.0,10773.0,10272.0,10615.28,47998.38
2019-09-04,10611.85,10799.0,10369.89,10567.02,43943.89
2019-09-05,10565.92,10900.0,10450.0,10564.49,33970.96
2019-09-06,10563.13,10905.87,10150.0,10298.73,58799.64
2019-09-07,10298.71,10558.0,10288.57,10455.88,27637.88
2019-09-08,10455.9,10592.5,10208.0,10381.18,23984.67
2019-09-09,10381.24,10480.0,10068.5,10303.12,39835.73
2019-09-10,10302.58,10384.99,9953.0,10098.15,28915.41
