date,asopr
2023-06-05,0.99385194
2023-06-06,0.99886446
2023-06-07,1.00324495
2023-06-08,1.00098865
2023-06-09,1.00081054
2023-06-10,0.98409359
2023-06-11,0.99756689
2023-06-12,0.99328852
2023-06-13,0.99790184
2023-06-14,1.00190925
2023-06-15,0.98356052
2023-06-16,1.0006209
2023-06-17,1.00236994
2023-06-18,1.01659016
2023-06-19,0.98172804
2023-06-20,0.99898782
2023-06-21,1.03289423
2023-06-22,1.02890567
2023-06-23,1.03000588
2023-06-24,1.02506373
2023-06-25,1.01485395
2023-06-26,1.01778824
2023-06-27,1.03158908
2023-06-28,1.02754218
2023-06-29,1.0015064
2023-06-30,1.02382656
2023-07-01,1.06209701
2023-07-02,1.01375312
2023-07-03,1.01301763
2023-07-04,1.01327374
2023-07-05,1.006731
2023-07-06,0.97124492
2023-07-07,1.00457702
2023-07-08,1.00580727
2023-07-09,1.00768932
2023-07-10,1.00703127
2023-07-11,1.01904595
2023-07-12,1.01019806
2023-07-13,1.00407439
2023-07-14,1.0091962
2023-07-15,0.9966935
2023-07-16,1.0031616
2023-07-17,0.98832583
2023-07-18,1.01345408
2023-07-19,1.01286558
2023-07-20,1.0051909
2023-07-21,0.98624636
2023-07-22,1.00619115
2023-07-23,1.00591417
2023-07-24,0.99649506
2023-07-25,0.99761175
2023-07-26,0.99994169
2023-07-27,0.97316613
2023-07-28,0.9164152
2023-07-29,1.00205669
2023-07-30,0.9998649
2023-07-31,0.99669056
2023-08-01,0.99751802
2023-08-02,0.99197242
2023-08-03,1.00027413
2023-08-04,1.00314877
2023-08-05,0.99920778
2023-08-06,1.00409902
2023-08-07,0.99857089
2023-08-08,1.00220546
2023-08-09,1.0089882
2023-08-10,1.00080384
2023-08-11,1.00620219
2023-08-12,1.00677284
2023-08-13,1.00592706
2023-08-14,1.00367791
2023-08-15,1.00267975
2023-08-16,0.99938542
2023-08-17,0.98663978
2023-08-18,0.97097494
2023-08-19,0.98918927
2023-08-20,0.99594468
2023-08-21,0.98243891
2023-08-22,0.9869053
2023-08-23,0.99150146
2023-08-24,0.98126443
2023-08-25,0.98481985
2023-08-26,0.99390835
2023-08-27,1.0046028
2023-08-28,0.99212361
2023-08-29,0.98301255
2023-08-30,1.00352288
2023-08-31,0.99488795
2023-09-01,0.98313204
2023-09-02,0.99449584
2023-09-03,0.99279367
2023-09-04,0.99369522
2023-09-05,0.98541552
2023-09-06,0.98898654
2023-09-07,0.99137832
2023-09-08,0.99783172
2023-09-09,0.9906697
2023-09-10,0.99731632
2023-09-11,0.98455472
2023-09-12,0.99479797
2023-09-13,0.99796956
2023-09-14,1.01536935
2023-09-15,1.00437739
2023-09-16,1.0013725
2023-09-17,1.00141807
2023-09-18,1.01780295
2023-09-19,1.03155822
2023-09-20,0.99789277
2023-09-21,0.99553864
2023-09-22,0.99810271
2023-09-23,0.99887931
