date,reserveRisk
2020-03-15,0.0006629405
2020-03-16,0.0006186253
2020-03-17,0.0006557795
2020-03-18,0.0006665319
2020-03-19,0.0007611781
2020-03-20,0.0007526915
2020-03-21,0.0007580713
2020-03-22,0.0007127409
2020-03-23,0.0007941289
2020-03-24,0.0008281924
2020-03-25,0.0008193042
2020-03-26,0.0008258618
2020-03-27,0.0007791928
2020-03-28,0.0007642746
2020-03-29,0.0007180761
2020-03-30,0.000783904
2020-03-31,0.0007847703
2020-04-01,0.0008091593
2020-04-02,0.0008304897
2020-04-03,0.0008196997
2020-04-04,0.0008307092
2020-04-05,0.000822062
2020-04-06,0.0008835795
2020-04-07,0.0008722495
2020-04-08,0.0008901393
2020-04-09,0.000882537
2020-04-10,0.0008290517
2020-04-11,0.0008303972
2020-04-12,0.000841185
2020-04-13,0.0008276563
2020-04-14,0.000826967
2020-04-15,0.0007986296
2020-04-16,0.0008548643
2020-04-17,0.0008436364
2020-04-18,0.0008714695
2020-04-19,0.0008598671
2020-04-20,0.0008206643
2020-04-21,0.0008209063
2020-04-22,0.0008527632
2020-04-23,0.0008943385
2020-04-24,0.0008957043
2020-04-25,0.0009020195
2020-04-26,0.0009177892
2020-04-27,0.0009274471
2020-04-28,0.0009241694
2020-04-29,0.0010426695
2020-04-30,0.0010221558
2020-05-01,0.0010456051
2020-05-02,0.0010636132
2020-05-03,0.0010549869
2020-05-04,0.0010507898
2020-05-05,0.0010623949
2020-05-06,0.0010847988
2020-05-07,0.001185327
2020-05-08,0.0011550766
2020-05-09,0.001122187
2020-05-10,0.0010274137
2020-05-11,0.0010092299
2020-05-12,0.0010301918
2020-05-13,0.0010886601
2020-05-14,0.0011482539
2020-05-15,0.0010832843
2020-05-16,0.001097792
2020-05-17,0.001125426
2020-05-18,0.0011308916
2020-05-19,0.0011370364
2020-05-20,0.0011042538
2020-05-21,0.0010501522
2020-05-22,0.0010603071
2020-05-23,0.0010616127
2020-05-24,0.0010447844
2020-05-25,0.0010308269
2020-05-26,0.0010205811
2020-05-27,0.0010524652
2020-05-28,0.0010976292
2020-05-29,0.0010848034
2020-05-30,0.0011162399
2020-05-31,0.0010828955
2020-06-01,0.0011698732
2020-06-02,0.0010915468
2020-06-03,0.001104992
2020-06-04,0.0011189504
2020-06-05,0.0011005159
2020-06-06,0.0011025259
2020-06-07,0.0011087954
2020-06-08,0.0011127597
2020-06-09,0.0011094841
2020-06-10,0.0011232002
2020-06-11,0.0010531901
2020-06-12,0.0010712945
2020-06-13,0.0010701243
2020-06-14,0.0010550493
2020-06-15,0.0010641745
2020-06-16,0.0010733211
2020-06-17,0.0010652473
2020-06-18,0.0010541275
2020-06-19,0.0010436369
2020-06-20,0.0010505756
2020-06-21,0.0010417573
2020-06-22,0.0010852628
2020-06-23,0.0010773415
2020-06-24,0.0010372385
2020-06-25,0.0010329997
2020-06-26,0.0010218979
2020-06-27,0.0010043597
2020-06-28,0.0010163254
2020-06-29,0.001022271
2020-06-30,0.001015698
2020-07-01,0.0010259748
2020-07-02,0.0010084555
2020-07-03,0.0010047404
2020-07-04,0.0010093492
2020-07-05,0.0010036822
2020-07-06,0.0010330594
2020-07-07,0.0010212112
2020-07-08,0.0010408214
2020-07-09,0.0010169289
2020-07-10,0.0010218084
2020-07-11,0.0010155408
2020-07-12,0.0010199394
2020-07-13,0.0010128412
2020-07-14,0.0010142303
2020-07-15,0.0010076164
2020-07-16,0.0009988329
2020-07-17,0.0009998817
2020-07-18,0.0010012458
2020-07-19,0.0010048203
2020-07-20,0.0009980356
2020-07-21,0.0010213065
2020-07-22,0.0010369086
2020-07-23,0.0010438663
2020-07-24,0.0010365771
2020-07-25,0.0010516755
2020-07-26,0.0010756912
2020-07-27,0.0011897603
2020-07-28,0.0011801057
2020-07-29,0.0011997628
2020-07-30,0.001200079
2020-07-31,0.0012212623
2020-08-01,0.0012704435
2020-08-02,0.0011883917
2020-08-03,0.0012048024
2020-08-04,0.0011980714
2020-08-05,0.0012525156
2020-08-06,0.0012571627
2020-08-07,0.0012352289
2020-08-08,0.001250779
2020-08-09,0.0012421893
2020-08-10,0.0012623318
2020-08-11,0.0012094669
2020-08-12,0.0012260974
2020-08-13,0.0012481491
2020-08-14,0.0012446243
2020-08-15,0.0012518498
2020-08-16,0.0012540534
2020-08-17,0.001295955
2020-08-18,0.0012593149
2020-08-19,0.00123411
2020-08-20,0.0012447629
2020-08-21,0.0012067703
2020-08-22,0.0012233211
2020-08-23,0.001218061
2020-08-24,0.0012295704
2020-08-25,0.0011861158
2020-08-26,0.0011954951
2020-08-27,0.0011764807
2020-08-28,0.0011982661
2020-08-29,0.0011909062
2020-08-30,0.0012146679
2020-08-31,0.001206895
2020-09-01,0.0012405356
2020-09-02,0.0011795999
2020-09-03,0.0010322109
2020-09-04,0.0010809888
2020-09-05,0.0010448665
2020-09-06,0.0010563836
2020-09-07,0.0010657242
2020-09-08,0.0010390596
2020-09-09,0.0010485327
2020-09-10,0.0010604137
2020-09-11,0.0010634119
2020-09-12,0.0010684265
2020-09-13,0.0010541026
2020-09-14,0.0010892367
2020-09-15,0.00109786
2020-09-16,0.0011148354
2020-09-17,0.0011119627
2020-09-18,0.0011091773
2020-09-19,0.0011239568
2020-09-20,0.0011073524
2020-09-21,0.0010584388
2020-09-22,0.001065251
2020-09-23,0.0010335243
2020-09-24,0.0010837026
2020-09-25,0.0010773436
2020-09-26,0.0010817467
2020-09-27,0.0010816308
2020-09-28,0.0010786184
2020-09-29,0.0010874684
2020-09-30,0.0010798402
2020-10-01,0.0010630179
2020-10-02,0.0010575885
2020-10-03,0.0010549766
2020-10-04,0.0010646968
2020-10-05,0.0010746995
2020-10-06,0.0010566455
