date,price_open,price_high,price_low,price_close,price_volume,adjusted_sopr,avg_dormancy,avg_spent_output_lifespan,coin_days_destroyed,supply_adjusted_cdd,exchange_netflow,exchange_inflow,exchange_outflow,mvrv_ratio,mvrv_zscore,nupl,nvt_ratio,active_addresses,puell_multiple,reserve_risk,utxos_profit_pct,utxos_loss_pct,supply_in_profit,supply_in_loss,net_realized_pl,realized_loss_usd,rpv_ratio,liveliness,difficulty,hash_ribbons,hash_ribbons.1,hash_ribbons.2,hodl_age_0d_1d,hodl_age_1d_1w,hodl_age_1w_1m,hodl_age_1m_3m,hodl_age_3m_6m,hodl_age_6m_1y,hodl_age_1y_2y,hodl_age_2y_3y,hodl_age_3y_4y,hodl_age_4y_5y,hodl_age_5y_7y,hodl_age_7y_10y,hodl_age_10y,drawdown_from_ath,pct_supply_in_profit
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63,1.00331974,22.9943,44.59,22401805.74,1.14257842,4230.80515753,95764.83887181,91534.03371428,1.7694,1.1652398746595305,0.4308,0.822465,969267.0,1.344,0.0007794412,81.091,18.909,15344012.0743,4262443.4257,11237.3900954,433521863.55,0.0,0.58708448,70343519904867.0,510503906.66,506420723.31,Up,215671.0105,411735.5655,1195993.7855,1156780.8745,1039142.1415,1921432.639,2450806.9375,2666477.948,1548909.9845,843077.5865,2078284.283,960716.3195,3137032.88,-0.4091505428367189,0.7826000000000001
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.83,1.04828439,52.0797,65.0,57722403.21,2.94392141,3884.25742111,89212.49325506,85328.23583395,1.7599,1.1866117081529577,0.4348,0.715451,1031387.0,1.611,0.0007866894,81.3503,18.6497,15513369.3416,4094023.658399999,12936.2602854,340789345.17,0.0,0.58770861,70343519904867.0,511403121.75,506634307.56,Up,215681.323,450970.039,1196050.973,1137228.794,941154.864,2019561.479,2450924.125,2666605.448,1509769.261,843117.899,2078383.658,960762.257,3137182.88,-0.4063770856278257,0.7912
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.12,1.02058239,25.9184,68.12,26194952.51,1.33590213,7331.14866032,83131.36755926,75800.21889894,1.8437,1.1725745800566902,0.4318,0.783928,1199567.0,1.417,0.0007873537,81.2108,18.7892,15326022.545983998,4282501.694016,12537.5993349,154589885.42,0.0,0.58790671,70343519904867.0,515915691.89,508962686.6,Up,196085.2424,392170.4848,1254945.55136,1156902.93016,941209.16352,2019677.99672,2451065.53,2647150.7724,1509856.36648,843166.54232,2078503.56944,960817.68776,3137363.8784,-0.4082103100398766,0.7816
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.97,1.01400431,15.5747,39.07,16623261.59,0.84771961,-5159.98010372,85679.87112967,90839.85123339,1.8545,1.3027213766764874,0.4576,0.754561,1077043.0,1.6,0.0008251498,84.5221,15.4779,16009174.769536,3600299.4704639986,11712.1479674,168930210.44,0.0,0.58797548,70343519904867.0,518241175.11,510501801.31,Up,215704.21664,392189.4848,1255006.35136,1156958.98016,960864.23776,2000166.37248,2451184.28,2647279.0224,1509929.51648,843207.39232,2078604.26944,960864.23776,3137515.8784,-0.3806294569056019,0.8164
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.42,1.01759708,7.6781,40.82,4948933.34,0.25236174,-637.06087747,27979.03920877,28616.10008624,1.8478,1.3196316002799586,0.4608,1.238586,1173368.0,1.49,0.0008288489,85.4119,14.5881,16170853.749553995,3439689.2404460013,10801.4935584,33800451.79,0.0,0.58788666,70343519904867.0,523735813.86,512191077.87,Up,78442.17196,509874.11774,1235464.20837,1176632.5794,941306.06352,2000275.38498,2470928.41674,2647423.30365,1510011.81023,843253.34857,2078717.55694,960916.60651,3137686.8784,-0.3762293628971314,0.8246
2024-01-28,42120.63,42842.68,41620.81,42031.06,27295.0,1.0136141,6.6162,27.42,3001075.62,0.15302637,-75.24037088,22845.91882707,22921.15919795,1.9003,1.309147825764872,0.4588,1.75982,1089163.0,1.492,0.0008226275,84.6502,15.3498,16069698.326005995,3541844.663994001,9832.0318677,31659467.3,0.0,0.5877716,70343519904867.0,524368849.4,513858611.96,Up,117669.25794,490288.57475,1176692.5794,1235527.20837,960965.60651,2019988.92797,2451442.87375,2647558.30365,1510088.81023,843296.34857,2078823.55694,960965.60651,3137846.8784,-0.3775558182698384,0.8194
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74,1.01623692,15.0531,31.54,13745065.11,0.70083391,1105.22900736,68696.06702117,67590.83801381,1.8845,1.391033675453318,0.4738,0.8809,1136834.0,1.367,0.0008484156,89.9831,10.0169,16839307.946213998,2773210.0437860005,9486.4221874,103709746.15,0.0,0.58780151,70343519904867.0,525251534.57,515405632.94,Up,215737.69789,372637.84181,1176751.0794,1235588.63337,961013.38151,2020089.35297,2451564.74875,2647689.92865,1529776.40322,843338.27357,2078926.90694,961013.38151,3138002.8784,-0.3587239135009522,0.8585999999999999
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.25,1.04794777,19.2387,39.99,21744625.76,1.10866459,-9792.02240037,75956.80100267,85748.82340304,1.8658,1.3690022811603115,0.4693,0.693026,1080833.0,1.231,0.0008513433,88.8465,11.1535,16630217.113720998,2983200.876279,11433.1242993,92521894.57,0.0,0.58793927,70343519904867.0,523423038.49,514282678.21,Up,274587.85186,333428.10583,1196418.49739,1235645.33337,961057.48151,1980955.21699,2451677.24875,2628198.01066,1529846.60322,843376.97357,2079022.30694,961057.48151,3138146.8784,-0.3640789013626342,0.8479
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.14,1.03195127,14.5935,35.7,19901630.51,1.01465521,13098.49189343,80350.84598054,67252.35408711,1.8837,1.341663967474614,0.464,0.576765,1012268.0,1.449,0.0008355023,86.8492,13.1508,16258240.833786,3355995.906213999,12278.9062961,176698749.08,0.0,0.5880521,70343519904867.0,520198579.15,514766824.55,Up,254985.07762,372670.49806,1235696.91462,1196468.44114,961097.60026,1961423.674,2432165.35576,2628307.72316,1529910.46572,843412.17982,2079109.09444,961097.60026,3138277.8784,-0.3694264846503923,0.8289000000000001
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.05,1.00529961,10.5691,42.38,10365086.95,0.52842355,-4843.52405437,59748.46096178,64591.98501615,1.8885,1.3696287846054245,0.4691,0.821417,1070918.0,1.781,0.000840745,89.463,10.537,16676837.080097998,2938355.909902001,11296.0693803,176871618.77,0.0,0.58803633,70343519904867.0,522401992.45,514393602.48,Up,215767.12289,431534.24578,1235757.15837,1216141.96538,961144.45651,1961519.299,2432283.93076,2628435.86066,1529985.05322,843453.29857,2079210.45694,961144.45651,3138430.8784,-0.3619783718319345,0.8502
