date,supplyProfit
2020-02-07,15614700.665364
2020-02-08,15689019.138394
2020-02-09,15932846.405
2020-02-10,15402434.404256
2020-02-11,16050537.286616
2020-02-12,16237885.59078
2020-02-13,15827777.975598002
2020-02-14,16248248.292707998
2020-02-15,15329754.628048
2020-02-16,15373156.682884002
2020-02-17,14693269.258866
2020-02-18,15768230.910263998
2020-02-19,14428269.430512
2020-02-20,14340197.568144
2020-02-21,14653448.681816
2020-02-22,14490847.105936
2020-02-23,15323721.085728
2020-02-24,14444422.577921998
2020-02-25,13838542.777416
2020-02-26,12816618.957014
2020-02-27,12785076.472088002
2020-02-28,12735380.581092
2020-02-29,12358929.175067998
2020-03-01,12300213.260412
2020-03-02,13275950.94405
2020-03-03,12899553.991776
2020-03-04,12826193.244514
2020-03-05,13515829.723728
2020-03-06,13559254.669814
2020-03-07,13159021.537524
2020-03-08,11387336.550752
2020-03-09,11074390.502848
2020-03-10,11172191.149644
2020-03-11,11441606.179248
2020-03-12,8426817.272216
2020-03-13,9061475.99072
2020-03-14,8468471.68407
2020-03-15,8695736.325088
2020-03-16,8451576.91675
2020-03-17,9016992.225688
2020-03-18,8814740.188436
2020-03-19,9676269.871708
2020-03-20,9645916.594764
2020-03-21,9686952.107868
2020-03-22,9208796.937834
2020-03-23,10216934.253416
2020-03-24,10563449.479514
2020-03-25,10333703.873782
2020-03-26,10457367.056076
2020-03-27,10004871.94904
2020-03-28,9471664.820796002
2020-03-29,9026268.145688
2020-03-30,9949285.851116
2020-03-31,9935728.37976
2020-04-01,10582748.212406
2020-04-02,10926095.390040005
2020-04-03,10687306.983148
2020-04-04,11027100.563568002
2020-04-05,10801405.7188
2020-04-06,11611610.494344002
2020-04-07,11310808.053564
2020-04-08,11822851.701792002
2020-04-09,11593326.83856
2020-04-10,10763027.962232
2020-04-11,10831975.811316002
2020-04-12,10963184.564288002
2020-04-13,10834370.576316
2020-04-14,10883257.481348
2020-04-15,10046959.977324
2020-04-16,11239407.075624
2020-04-17,11108399.54592
2020-04-18,11617411.280684
2020-04-19,11286759.642192
2020-04-20,10629715.321654
2020-04-21,10839853.255352002
2020-04-22,11213124.801948002
2020-04-23,12224846.23753
2020-04-24,12238886.495904
2020-04-25,12306064.013255998
2020-04-26,12431972.816032002
2020-04-27,12517571.703204
2020-04-28,12419790.862176
2020-04-29,14287473.65862
2020-04-30,13862968.665546
2020-05-01,14534294.513976002
2020-05-02,14640399.1877
2020-05-03,14487850.212212
2020-05-04,14436159.051984
2020-05-05,14678279.113876002
2020-05-06,14902044.458448
2020-05-07,16060699.234608
2020-05-08,15669091.64896
2020-05-09,15154314.054768
2020-05-10,13379376.852424
2020-05-11,13182223.974118
2020-05-12,14075947.87962
2020-05-13,14914493.051912
2020-05-14,15712649.0586
2020-05-15,14847706.229703002
2020-05-16,15039483.386081
2020-05-17,15392892.864875
2020-05-18,15457894.17237
2020-05-19,15543051.665792
2020-05-20,15060217.809651
2020-05-21,14145433.646490002
2020-05-22,14267297.422677
2020-05-23,14293612.3413
2020-05-24,13547753.460608
2020-05-25,13950973.224916
2020-05-26,13661056.98751
2020-05-27,14373282.893419
2020-05-28,15251031.932708
2020-05-29,14990568.974264
2020-05-30,15473176.516798
2020-05-31,14949829.351303
2020-06-01,16539542.111501005
2020-06-02,15056002.120652
2020-06-03,15314218.759382002
2020-06-04,15774859.333632002
2020-06-05,15157736.321680002
2020-06-06,15291200.781384
2020-06-07,15507277.885278
2020-06-08,15567006.656952
2020-06-09,15582572.390808
2020-06-10,15929371.128923995
2020-06-11,14064437.324551
2020-06-12,14578652.465904
2020-06-13,14601519.239188
2020-06-14,14306045.070336
2020-06-15,14545989.004246002
2020-06-16,14929587.030752
2020-06-17,14552933.780692
2020-06-18,14310553.003318
2020-06-19,13966997.310684
2020-06-20,14317436.445389
2020-06-21,13754772.982897
2020-06-22,15325965.522168
2020-06-23,15080056.43508
2020-06-24,13972267.049916
2020-06-25,13663571.85144
2020-06-26,13518849.617112
2020-06-27,13208245.536904
2020-06-28,13345206.245072
2020-06-29,13728962.484078
2020-06-30,13458885.560723998
2020-07-01,13899867.692171998
2020-07-02,13335110.169198
2020-07-03,13249263.191544002
2020-07-04,13452624.159564
2020-07-05,13278337.926899
2020-07-06,14506148.992911
2020-07-07,14003906.163199998
2020-07-08,14835687.249957
2020-07-09,13786107.296467
2020-07-10,14137014.251172
2020-07-11,13754415.213416
2020-07-12,14238018.8172
2020-07-13,13788987.481467
2020-07-14,14021915.450948998
2020-07-15,13615185.158802
2020-07-16,13256337.809187
2020-07-17,13426473.467281
2020-07-18,13633550.355015002
2020-07-19,13811150.946912
2020-07-20,13585025.246376002
2020-07-21,14795176.627568
2020-07-22,15297454.678672
2020-07-23,15388517.82229
2020-07-24,15219696.531311998
2020-07-25,15640913.323926
2020-07-26,16259600.858256
2020-07-27,17298831.246227
2020-07-28,17104162.910274
2020-07-29,17320839.42882
2020-07-30,17341923.291412998
2020-07-31,17466422.846184
2020-08-01,17681238.517392
2020-08-02,16925650.086312
2020-08-03,17256844.664814
2020-08-04,17063951.481824
2020-08-05,17577671.344288003
2020-08-06,17606280.058108
2020-08-07,17310073.25544
2020-08-08,17408717.884354
2020-08-09,17256451.9853
2020-08-10,17733442.008504
2020-08-11,16888994.17395
2020-08-12,17083710.450689998
2020-08-13,17551594.127203997
2020-08-14,17565509.127320003
2020-08-15,17680900.222276
2020-08-16,17751968.62362
2020-08-17,17817342.280449998
2020-08-18,17698167.781604998
2020-08-19,16977001.076821998
2020-08-20,17487507.622109998
2020-08-21,16576146.045888
2020-08-22,16837308.311796
2020-08-23,16775408.259178998
2020-08-24,17206603.910807997
2020-08-25,16337376.94211
2020-08-26,16539502.766952
2020-08-27,16209567.969074998
2020-08-28,16661214.367671998
2020-08-29,16521632.113734
2020-08-30,16960203.42534
2020-08-31,16890854.852746
2020-09-01,17712116.550818
2020-09-02,16219959.546714
2020-09-03,15032482.144629998
2020-09-04,15369497.567021
2020-09-05,14616226.168742
2020-09-06,14933000.191039998
2020-09-07,15316472.304381002
2020-09-08,14598267.020524
2020-09-09,14985327.101040997
2020-09-10,15337350.592761
2020-09-11,15498896.841792
2020-09-12,15531216.123413
2020-09-13,15084648.542617
2020-09-14,15758562.181148998
2020-09-15,15831505.849206
2020-09-16,15989512.179185998
2020-09-17,15838835.56872
2020-09-18,15756497.89476
2020-09-19,16117933.55067
2020-09-20,15721056.748
2020-09-21,15242773.741832998
2020-09-22,15382166.222807998
2020-09-23,14674432.366104
2020-09-24,15685147.044527002
2020-09-25,15528793.715171998
2020-09-26,15740489.896704
2020-09-27,15763500.26976
2020-09-28,15507001.511653
2020-09-29,15874108.365202
2020-09-30,15730610.315338
2020-10-01,15185365.790628
2020-10-02,15132395.760326
2020-10-03,14998066.422152
2020-10-04,15370877.082715
2020-10-05,15862088.417909998
2020-10-06,15190883.813590998
2020-10-07,15395275.068896
2020-10-08,16079196.067868
2020-10-09,16383571.25265
2020-10-10,16717603.01736
2020-10-11,16809110.90803
2020-10-12,17109901.190007
2020-10-13,16842373.941503998
2020-10-14,16646938.958520005
2020-10-15,16964447.194403
2020-10-16,16439392.624446
2020-10-17,16493971.875038002
2020-10-18,16900245.722374998
2020-10-19,17410302.571200002
2020-10-20,17755667.042928
2020-10-21,17960202.326208
2020-10-22,18007342.964283
2020-10-23,17754344.656016
2020-10-24,18009060.431678995
2020-10-25,17844883.959168
2020-10-26,17953004.80506
2020-10-27,18038833.042664
2020-10-28,17894918.490041997
2020-10-29,17927070.166575
2020-10-30,17944418.338416
2020-10-31,18063698.558704004
2020-11-01,17953271.366072003
2020-11-02,17712929.987352002
2020-11-03,18101104.370448004
2020-11-04,18118755.489744004
2020-11-05,18260518.397688
2020-11-06,18261460.495188
2020-11-07,17854552.031008
2020-11-08,17951778.129996
2020-11-09,17865765.851728003
2020-11-10,17781368.906229
2020-11-11,18288407.338416003
2020-11-12,18361705.818282
2020-11-13,18379254.326328
2020-11-14,18022248.033161
2020-11-15,17978652.982955
2020-11-16,18424708.547515
2020-11-17,18507286.848726004
2020-11-18,18519469.254715
2020-11-19,18520324.22034
2020-11-20,18521372.64534
2020-11-21,18522427.310965
2020-11-22,18161762.04601
2020-11-23,18145964.469214
2020-11-24,18532700.520166
2020-11-25,18370392.320869
2020-11-26,17608709.415310003
2020-11-27,17516842.939360004
2020-11-28,17805384.112305
2020-11-29,17984439.269379
2020-11-30,18558583.94
2020-12-01,18284852.837688
2020-12-02,18411869.868480004
2020-12-03,18429548.469026003
2020-12-04,17908843.305312
2020-12-05,18145463.42635
2020-12-06,18376487.702206
2020-12-07,18221470.393360004
2020-12-08,17440732.660736002
2020-12-09,17571515.595816
2020-12-10,17321623.259501003
2020-12-11,17214731.367649
2020-12-12,18032540.593509004
2020-12-13,18263757.464365
2020-12-14,18428074.189912003
2020-12-15,18456800.372072
2020-12-16,18572840.19
2020-12-17,18573646.44
