date,exchangeNetflowBtc
2013-04-08,-0.93483899
2013-04-09,3.61719914
2013-04-10,-4.01950594
2013-04-11,2.5504816
2013-04-12,-1.9615169
2013-04-13,1.56339879
2013-04-14,3.56829104
2013-04-15,0.60486785
2013-04-16,-1.88379561
2013-04-17,5.40564659
2013-04-18,-5.59527323
2013-04-19,32.7448285
2013-04-20,-28.9464648
2013-04-21,-1.40823259
2013-04-22,1.7322244
2013-04-23,-0.32015303
2013-04-24,-3.65929979
2013-04-25,0.52579001
2013-04-26,3.8892213
2013-04-27,21.9722662
2013-04-28,-22.19880292
2013-04-29,2.7899419
2013-04-30,5.04168019
2013-05-01,-4.42291927
2013-05-02,3.64388746
2013-05-03,0.93822134
2013-05-04,-2.73931176
2013-05-05,-0.91145514
2013-05-06,-0.22229632
2013-05-07,1.71260275
2013-05-08,7.76963382
2013-05-09,2.71838084
2013-05-10,-9.74735249
2013-05-11,14.63966999
2013-05-12,-11.26449865
2013-05-13,5.52810623
2013-05-14,0.05725638
2013-05-15,3.71248365
2013-05-16,21.30367646
2013-05-17,-25.79671087
2013-05-18,-3.2091913
2013-05-19,4.27179886
2013-05-20,-2.98207335
2013-05-21,-5.56013739
2013-05-22,7.50235606
2013-05-23,-4.66269999
2013-05-24,7.79363128
2013-05-25,5.01111784
2013-05-26,-4.34663778
2013-05-27,-1.17892436
2013-05-28,7.7739619
2013-05-29,-5.17625117
2013-05-30,1.82553409
2013-05-31,-4.46592515
2013-06-01,5.63397723
2013-06-02,5.99329444
2013-06-03,-1.1578859
2013-06-04,-9.08906755
2013-06-05,2.72177135
2013-06-06,-4.30188619
2013-06-07,0.5062523
2013-06-08,5.35491655
2013-06-09,-3.97753176
2013-06-10,2.91134928
2013-06-11,3.89038409
2013-06-12,-1.69741292
2013-06-13,117.90170383
2013-06-14,-113.34509883
2013-06-15,-2.39723128
2013-06-16,5000.74227205
2013-06-17,48.51283739
2013-06-18,-42.11813264
2013-06-19,-8.56702469
2013-06-20,9.75143215
2013-06-21,-8.26226294
2013-06-22,-2.65568775
2013-06-23,-2.72858308
2013-06-24,-0.64796642
2013-06-25,7.93913874
2013-06-26,-3.54454544
2013-06-27,0.5609767
2013-06-28,-3.61930759
2013-06-29,7.61416714
2013-06-30,41.16382255
2013-07-01,-37.93988691
2013-07-02,-12.80515389
2013-07-03,12.17890536
2013-07-04,-7.29741693
2013-07-05,15.20725919
2013-07-06,-19.54276356
2013-07-07,6.62119469
2013-07-08,2.67357351
2013-07-09,3.60767564
2013-07-10,-10.72275906
2013-07-11,2.74907426
2013-07-12,3.95402397
2013-07-13,1.90213213
2013-07-14,-1.03706765
2013-07-15,43.09349702
2013-07-16,-2.45746482
2013-07-17,-7.78400348
2013-07-18,5.30641253
2013-07-19,-34.8484804
2013-07-20,7.55494141
2013-07-21,-15.23732965
2013-07-22,-0.88161765
2013-07-23,7.31877083
2013-07-24,-3.03733188
2013-07-25,-6.40703334
2013-07-26,19.45616636
2013-07-27,-9.35408862
2013-07-28,11.35873004
2013-07-29,-9.37942605
2013-07-30,11.40717128
2013-07-31,-6.48314555
2013-08-01,34.77146408
2013-08-02,-6.64009072
2013-08-03,6596.51352685
2013-08-04,12.24752279
2013-08-05,4086.06897754
2013-08-06,-7.01683957
2013-08-07,4005.16411341
2013-08-08,70.70365897
2013-08-09,22.24109608
2013-08-10,4259.98853535
2013-08-11,141.41329733
2013-08-12,10.13384003
2013-08-13,1004.92340058
2013-08-14,4740.17386697
2013-08-15,15.73581407
2013-08-16,7.12382962
2013-08-17,-24967.02943253
2013-08-18,68.68922286
2013-08-19,633.74641742
2013-08-20,-699.75049261
2013-08-21,38.39658626
2013-08-22,-33.05580212
2013-08-23,-1.83322357
