date,realizedLossUsd
2022-08-25,259501984.19
2022-08-26,340379449.26
2022-08-27,381528224.45
2022-08-28,145494875.64
2022-08-29,265391104.01
2022-08-30,640091786.0
2022-08-31,327437490.96
2022-09-01,421243798.39
2022-09-02,406352248.39
2022-09-03,107837046.2
2022-09-04,104991613.09
2022-09-05,189243814.88
2022-09-06,648983406.97
2022-09-07,415087192.51
2022-09-08,334782544.35
2022-09-09,212871706.0
2022-09-10,116812676.75
2022-09-11,146761674.32
2022-09-12,190678889.02
2022-09-13,1203805862.86
2022-09-14,665861370.99
2022-09-15,603109918.92
2022-09-16,227098405.41
2022-09-17,135068536.64
2022-09-18,154019739.55
2022-09-19,615017382.0
2022-09-20,462187911.5
2022-09-21,459193705.5
2022-09-22,290058189.49
2022-09-23,259240112.19
2022-09-24,84152243.17
2022-09-25,137291756.06
2022-09-26,190411698.04
2022-09-27,448355736.68
2022-09-28,499080337.12
2022-09-29,311917079.63
2022-09-30,386552191.05
2022-10-01,99385854.36
2022-10-02,98288688.23
2022-10-03,179937306.59
2022-10-04,234368708.26
2022-10-05,241544215.06
2022-10-06,198041122.54
2022-10-07,189790401.57
2022-10-08,289798787.25
2022-10-09,65591405.15
2022-10-10,221540966.5
2022-10-11,228040389.03
2022-10-12,494408716.15
2022-10-13,253593338.27
2022-10-14,199403114.65
2022-10-15,77526854.43
2022-10-16,84127763.99
2022-10-17,532128894.18
2022-10-18,329673622.15
2022-10-19,250992257.75
2022-10-20,164445612.68
2022-10-21,157352907.56
2022-10-22,345186235.91
2022-10-23,74237730.14
2022-10-24,119377846.55
2022-10-25,88325274.81
2022-10-26,270029272.13
2022-10-27,170955405.38
2022-10-28,169013574.95
2022-10-29,90252491.08
2022-10-30,134237340.6
2022-10-31,209416202.68
2022-11-01,194358733.38
2022-11-02,214719611.11
2022-11-03,173059237.54
2022-11-04,188277597.77
2022-11-05,155129607.16
2022-11-06,219555924.31
2022-11-07,1129160000.46
2022-11-08,793553477.23
2022-11-09,2106001760.44
2022-11-10,1172096412.38
2022-11-11,973608612.76
2022-11-12,1096377153.97
2022-11-13,290977591.12
2022-11-14,820193279.91
2022-11-15,819207839.46
2022-11-16,1046995948.25
2022-11-17,1675350466.14
2022-11-18,4441371047.47
2022-11-19,239226248.17
2022-11-20,300693394.01
2022-11-21,723751000.6
2022-11-22,628869634.03
2022-11-23,451198024.49
2022-11-24,286996275.76
2022-11-25,276488198.3
2022-11-26,255703825.55
2022-11-27,404117948.9
2022-11-28,552532072.25
2022-11-29,223494407.3
2022-11-30,301938922.03
2022-12-01,275647424.7
2022-12-02,323841043.07
2022-12-03,114263598.71
2022-12-04,232875631.05
2022-12-05,1118254596.73
2022-12-06,394105717.18
2022-12-07,115190904.19
2022-12-08,237748762.9
2022-12-09,381601350.68
2022-12-10,46161294.77
2022-12-11,143125889.75
2022-12-12,150631874.23
2022-12-13,380253747.35
2022-12-14,471252790.54
2022-12-15,183604882.77
2022-12-16,238531604.39
2022-12-17,189281314.16
2022-12-18,89920391.36
2022-12-19,553274655.54
2022-12-20,150678325.82
2022-12-21,298269096.87
2022-12-22,178728448.39
2022-12-23,204589869.45
2022-12-24,96457706.69
2022-12-25,222178787.2
2022-12-26,65609574.36
2022-12-27,207949696.51
2022-12-28,562705394.54
2022-12-29,451799148.31
2022-12-30,197866382.59
2022-12-31,825431128.01
2023-01-01,446787253.89
2023-01-02,68143379.77
2023-01-03,202162585.45
2023-01-04,260722084.59
2023-01-05,284884977.83
2023-01-06,280010697.19
2023-01-07,170425175.99
2023-01-08,60839654.8
2023-01-09,110697530.78
2023-01-10,297153068.0
2023-01-11,388788286.95
2023-01-12,137658231.09
2023-01-13,181471582.68
2023-01-14,136523659.38
2023-01-15,134503699.06
2023-01-16,165694130.54
2023-01-17,160658354.05
2023-01-18,245164210.13
2023-01-19,317734818.89
2023-01-20,153397797.97
2023-01-21,104304939.24
2023-01-22,55212080.5
2023-01-23,74925901.31
2023-01-24,94639722.11
2023-01-25,135314807.12
2023-01-26,571350190.66
2023-01-27,443376485.83
2023-01-28,35609525.98
2023-01-29,53667578.27
2023-01-30,125149680.56
2023-01-31,115033155.17
2023-02-01,81294857.17
2023-02-02,96405795.04
2023-02-03,171197417.95
2023-02-04,41659758.7
2023-02-05,83446411.87
2023-02-06,91920700.4
2023-02-07,99710698.27
2023-02-08,63502289.22
2023-02-09,200434893.9
2023-02-10,238364520.22
2023-02-11,99048055.58
2023-02-12,84606637.31
2023-02-13,132886764.99
